circuit_id,label,noise_name,noise_type,noise_intensity,num_qubits,circuit_depth,max_probability,min_probability,mean_probability,std_probability,entropy,normalized_entropy,purity,participation_ratio,qubit_0_prob_one,qubit_1_prob_one,qubit_2_prob_one,qubit_3_prob_one,mean_correlation,max_correlation,num_observed_states,normalized_num_states,qubit_4_prob_one
class0_circuit0,0,no_noise,none,0.0,4,8,0.5048828125,0.4951171875,0.5,0.0048828125,0.9999312055576379,0.24998280138940948,0.5000476837158203,1.9998092829249545,0.4951171875,0.0,1.0,0.0,0.0,0.0,2,0.125,
class0_circuit1,0,no_noise,none,0.0,4,15,1.0,1.0,1.0,0.0,-1.4426951601859516e-10,-3.606737900464879e-11,1.0,0.9999999999,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0625,
class0_circuit2,0,no_noise,none,0.0,3,11,0.5244140625,0.4755859375,0.5,0.0244140625,0.9982794891526063,0.3327598297175354,0.5011920928955078,1.995242969663057,0.0,0.0,0.5244140625,,0.0,0.0,2,0.25,
class0_circuit3,0,no_noise,none,0.0,4,5,0.2578125,0.2431640625,0.25,0.005213417115249664,1.9996868597797652,0.4999217149449413,0.2501087188720703,3.998261252586201,0.0,0.0,0.5068359375,0.4990234375,-0.0006499290466308594,0.0038995742797851562,4,0.25,
class0_circuit4,0,no_noise,none,0.0,2,8,0.50390625,0.49609375,0.5,0.00390625,0.9999559717049576,0.4999779858524788,0.500030517578125,1.9998779367376747,0.50390625,1.0,,,0.0,0.0,2,0.5,
class0_circuit5,0,no_noise,none,0.0,5,13,0.1376953125,0.1171875,0.125,0.007176239480810092,2.997656716217164,0.5995313432434328,0.1254119873046875,7.973719424229642,1.0,0.51953125,0.5009765625,0.4921875,0.0008930206298828125,0.00733184814453125,8,0.25,0.0
class0_circuit6,0,no_noise,none,0.0,3,15,0.2666015625,0.2392578125,0.25,0.010101641047645118,1.9988342344599626,0.6662780781533209,0.2504081726074219,3.9934798820180872,0.513671875,0.0,0.505859375,,0.0022519429524739585,0.006755828857421875,4,0.5,
class0_circuit7,0,no_noise,none,0.0,2,6,1.0,1.0,1.0,0.0,-1.4426951601859516e-10,-7.213475800929758e-11,1.0,0.9999999999,1.0,1.0,,,0.0,0.0,1,0.25,
class0_circuit8,0,no_noise,none,0.0,4,10,0.2734375,0.21484375,0.25,0.021705186299700068,1.9944334550259184,0.4986083637564796,0.25188446044921875,3.9700742071168693,0.533203125,0.0,0.0,0.51171875,-0.0021807352701822915,0.01308441162109375,4,0.25,
class0_circuit9,0,no_noise,none,0.0,4,5,0.50390625,0.49609375,0.5,0.00390625,0.9999559717049576,0.2499889929262394,0.500030517578125,1.9998779367376747,1.0,0.0,0.0,0.49609375,0.0,0.0,2,0.125,
class0_circuit10,0,no_noise,none,0.0,4,10,1.0,1.0,1.0,0.0,-1.4426951601859516e-10,-3.606737900464879e-11,1.0,0.9999999999,0.0,1.0,1.0,1.0,0.0,0.0,1,0.0625,
class0_circuit11,0,no_noise,none,0.0,3,14,1.0,1.0,1.0,0.0,-1.4426951601859516e-10,-4.808983867286506e-11,1.0,0.9999999999,1.0,0.0,1.0,,0.0,0.0,1,0.125,
class0_circuit12,0,no_noise,none,0.0,4,14,0.521484375,0.478515625,0.5,0.021484375,0.9986677559298073,0.24966693898245182,0.5009231567382812,1.9963141778307554,1.0,0.478515625,0.0,1.0,0.0,0.0,2,0.125,
class0_circuit13,0,no_noise,none,0.0,4,9,0.259765625,0.2392578125,0.25,0.0073404767472523965,1.9993767755975758,0.49984419389939394,0.2502155303955078,3.996554482528227,0.51171875,0.4912109375,1.0,1.0,9.854634602864583e-05,0.000591278076171875,4,0.25,
class0_circuit14,0,no_noise,none,0.0,2,12,0.5068359375,0.4931640625,0.5,0.0068359375,0.9998651611123257,0.49993258055616285,0.5000934600830078,1.999626229133356,1.0,0.4931640625,,,0.0,0.0,2,0.5,
class0_circuit15,0,no_noise,none,0.0,5,9,1.0,1.0,1.0,0.0,-1.4426951601859516e-10,-2.8853903203719033e-11,1.0,0.9999999999,0.0,1.0,0.0,0.0,0.0,0.0,1,0.03125,0.0
class0_circuit16,0,no_noise,none,0.0,5,10,0.5068359375,0.4931640625,0.5,0.0068359375,0.9998651611123257,0.19997303222246515,0.5000934600830078,1.999626229133356,0.0,0.0,0.0,0.4931640625,-0.02499532699584961,0.2499532699584961,2,0.0625,0.5068359375
class0_circuit17,0,no_noise,none,0.0,5,13,0.26171875,0.2373046875,0.25,0.009741180343388674,1.9989032154695185,0.3997806430939037,0.2503795623779297,3.993936206706757,0.4814453125,1.0,1.0,0.0,0.0002947807312011719,0.0029478073120117188,4,0.125,0.5009765625
class0_circuit18,0,no_noise,none,0.0,4,12,0.28515625,0.2265625,0.25,0.02157297073669387,1.9947308707505726,0.49868271768764316,0.251861572265625,3.9704349917593214,0.0,0.52734375,0.53125,0.0,0.0008341471354166666,0.0050048828125,4,0.25,
class0_circuit19,0,no_noise,none,0.0,5,11,0.5185546875,0.4814453125,0.5,0.0185546875,0.9990063997980665,0.1998012799596133,0.5006885528564453,1.997249575799648,0.0,0.0,1.0,0.4814453125,0.0,0.0,2,0.0625,0.0
